cam,x_new,y_new,date,time,effort,year,new_name,new_name2
I11,-1885962.2233570162,626594.5185053664,2018-07-01,04:34:00,92,2018,Canis lupus,Canis spp
I3,-1875013.9597088022,647529.4259054845,2018-07-01,03:41:00,92,2018,Canis lupus,Canis spp
K6,-1874026.4865417993,636563.6014167812,2018-07-01,16:43:00,92,2018,Unidentified vehicle,Unidentified vehicle
F6,-1885529.9926724087,645388.7828229454,2018-07-01,01:06:00,92,2018,Lepus americanus,Lepus americanus
D6,-1888940.9812114846,646096.855460413,2018-07-01,22:39:00,92,2018,Lepus americanus,Lepus americanus
K5,-1872647.1620192383,639616.7017645413,2018-07-01,01:42:00,92,2018,Lepus americanus,Lepus americanus
F6,-1885529.9926724087,645388.7828229454,2018-07-01,02:50:00,92,2018,Lepus americanus,Lepus americanus
F6,-1885529.9926724087,645388.7828229454,2018-07-01,01:12:00,92,2018,Lepus americanus,Lepus americanus
G3,-1879874.6094407914,648965.6000886054,2018-07-01,19:53:00,92,2018,Lepus americanus,Lepus americanus
K10,-1880085.1728476242,627354.087311672,2018-07-01,16:52:00,92,2018,Lepus americanus,Lepus americanus
B6,-1894767.1948375348,649227.4085230702,2018-07-01,03:30:00,92,2018,Lepus americanus,Lepus americanus
L6,-1872091.458431122,637421.9161492864,2018-07-01,08:40:00,25,2018,Lepus americanus,Lepus americanus
E6,-1888275.3463901759,644761.3461130343,2018-07-01,04:31:00,92,2018,Lepus americanus,Lepus americanus
K6,-1874026.4865417993,636563.6014167812,2018-07-01,17:29:00,92,2018,Lepus americanus,Lepus americanus
I10,-1884265.0367646962,629143.7133626777,2018-07-01,20:44:00,92,2018,Quad side_by_side,Quad side_by_side
I10,-1884265.0367646962,629143.7133626777,2018-07-01,20:45:00,92,2018,Quad side_by_side,Quad side_by_side
K8,-1877709.628798668,632099.9749511277,2018-07-01,12:38:00,92,2018,Quad side_by_side,Quad side_by_side
I11,-1885962.2233570162,626594.5185053664,2018-07-01,12:54:00,92,2018,Quad side_by_side,Quad side_by_side
I6,-1879235.8873243588,639314.0899803583,2018-07-01,03:23:00,92,2018,Glaucomys sabrinus,Glaucomys sabrinus
K7,-1875739.423447698,634429.2378008841,2018-07-01,14:39:00,92,2018,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus
H5,-1878605.2364234445,644691.7393304269,2018-07-01,05:42:00,92,2018,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus
K7,-1875739.423447698,634429.2378008841,2018-07-01,07:01:00,92,2018,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus
G7,-1884006.846809933,638999.3152451745,2018-07-01,19:52:00,92,2018,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus
G7,-1884006.846809933,638999.3152451745,2018-07-01,08:15:00,92,2018,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus
K3,-1870375.3709422285,645060.1600689597,2018-07-01,18:47:00,92,2018,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus
G9,-1888376.2820611706,633876.6078679156,2018-07-01,11:23:00,77,2018,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus
G7,-1884006.846809933,638999.3152451745,2018-07-01,13:56:00,92,2018,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus
