cam,x_new,y_new,date,time,effort,year,new_name,new_name2
H11,-1887633.167,628985.0788,7/4/2018,23:32:00,92,2018,Lepus americanus,Lepus americanus
H11,-1887633.167,628985.0788,7/12/2018,23:32:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
D6,-1888940.981,646096.8555,8/1/2018,23:32:00,92,2018,Mouse spp,Mouse spp
B6,-1894767.195,649227.4085,7/10/2019,23:32:00,80,2019,Odocoileus hemionus,Odocoileus hemionus
I9,-1883305.274,631806.718,7/16/2019,23:32:00,78,2019,Equus caballus,Equus caballus
D9,-1893782.414,639367.225,8/3/2019,23:32:00,74,2019,Lepus americanus,Lepus americanus
K5,-1872647.162,639616.7018,7/6/2018,23:31:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
H11,-1887633.167,628985.0788,7/12/2018,23:31:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
C6,-1892782.512,646476.8839,7/21/2018,23:31:00,92,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,9/21/2018,23:31:00,64,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,7/16/2019,23:31:00,78,2019,Equus caballus,Equus caballus
G3,-1879874.609,648965.6001,7/30/2019,23:31:00,82,2019,Canis lupus,Canis spp
J10a,-1881829.28,630414.9748,8/9/2019,23:31:00,81,2019,Lepus americanus,Lepus americanus
H11,-1887633.167,628985.0788,7/12/2018,23:30:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
D5,-1887547.811,650107.4012,7/12/2018,23:30:00,31,2018,Ursus arctos,Ursus arctos
D7,-1890238.697,644822.9866,7/15/2018,23:30:00,92,2018,Mouse spp,Mouse spp
K10,-1880085.173,627354.0873,8/27/2018,23:30:00,92,2018,Lepus americanus,Lepus americanus
F9,-1889399.555,636635.0375,9/16/2018,23:30:00,85,2018,Odocoileus hemionus,Odocoileus hemionus
F6,-1885529.993,645388.7828,7/1/2019,23:30:00,74,2019,Lepus americanus,Lepus americanus
K8,-1877717.09,632103.4584,7/1/2019,23:30:00,74,2019,Unknown spp,Unknown spp
I9,-1883305.274,631806.718,7/16/2019,23:30:00,78,2019,Equus caballus,Equus caballus
F8,-1888851.605,638355.2956,7/21/2019,23:30:00,81,2019,Odocoileus hemionus,Odocoileus hemionus
I9,-1883305.274,631806.718,7/23/2019,23:30:00,78,2019,Lepus americanus,Lepus americanus
I5,-1878256.745,642985.9705,7/29/2019,23:30:00,73,2019,Odocoileus hemionus,Odocoileus hemionus
L7,-1872993.216,634705.0133,8/7/2019,23:30:00,72,2019,Lepus americanus,Lepus americanus
J10a,-1881829.28,630414.9748,8/9/2019,23:30:00,81,2019,Lepus americanus,Lepus americanus
G3,-1879874.609,648965.6001,9/2/2019,23:30:00,82,2019,Lepus americanus,Lepus americanus
B6,-1894767.195,649227.4085,8/6/2018,23:29:00,92,2018,Mouse spp,Mouse spp
I3,-1875013.96,647529.4259,8/16/2018,23:29:00,92,2018,Canis lupus,Canis spp
